Token,sa,Aluno,Email,Responsável,Turma,Estado,Advertências
,1,Aluno 1,aluno1@email.com,aluno1@email.com,1º Médio A,1,1
,2,Aluno 2,aluno2@email.com,aluno2@email.com,1º Médio A,0,0
,3,Aluno 3,aluno3@email.com,aluno3@email.com,1º Médio A,0,0
,4,Aluno 4,aluno4@email.com,aluno4@email.com,1º Médio A,0,0
,5,Aluno 5,aluno5@email.com,aluno5@email.com,1º Médio A,0,0
,6,Aluno 6,aluno6@email.com,aluno6@email.com,1º Médio A,0,0
,7,Aluno 7,aluno7@email.com,aluno7@email.com,1º Médio A,0,0
,8,Aluno 8,aluno8@email.com,aluno8@email.com,1º Médio A,0,0
,9,Aluno 9,aluno9@email.com,aluno9@email.com,1º Médio A,0,0
,10,Aluno 10,aluno10@email.com,aluno10@email.com,1º Médio A,0,0
,11,Aluno 11,aluno11@email.com,aluno11@email.com,1º Médio A,0,0
